Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist - Power BI,$119K-$147K (Glassdoor est.),4.1,"UCI
4.1","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Engineer (Python),$74K-$124K (Glassdoor est.),4.4,"Conductor
4.4","New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$25 to $50 million (USD)
Data Scientist - Next Gen Digital Investing App,$74K-$124K (Glassdoor est.),3.3,"Forbes Media
3.3","Jersey City, NJ",201 to 500 employees,1917,Company - Private,Publishing,Media,Unknown / Non-Applicable
Data Scientist,$74K-$124K (Glassdoor est.),2.9,"Interactive Brokers
2.9","New York, NY",1001 to 5000 employees,-1,Company - Public,Brokerage Services,Finance,$1 to $2 billion (USD)
Data Scientist - Disney Streaming Services,$74K-$124K (Glassdoor est.),4,"The Walt Disney Company
4.0","New York, NY",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Scientist Technical Lead,$74K-$124K (Glassdoor est.),4.4,"Google
4.4","New York, NY",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Healthcare Data Scientist,$74K-$124K (Glassdoor est.),3.8,"Milliman
3.8","New York, NY",1001 to 5000 employees,1947,Company - Private,Consulting,Business Services,$1 to $2 billion (USD)
Data Scientist - Relocate to Washington D.C.,$74K-$124K (Glassdoor est.),3.8,"CIA
3.8","New York, NY",Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable
Senior Data Scientist,$74K-$124K (Glassdoor est.),2.7,"Metroplus Health Plan
2.7","New York, NY",1001 to 5000 employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Data Scientist,$74K-$124K (Glassdoor est.),-1,Huxley Banking & Financial Services,"New York, NY",-1,-1,-1,-1,-1,-1
"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))",$74K-$124K (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
"Data Scientist, Analytics- Instagram-Family Stories",$74K-$124K (Glassdoor est.),4.5,"Facebook
4.5","New York, NY",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
Data Scientist,$74K-$124K (Glassdoor est.),-1,One Drop,"New York, NY",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
Point72 Data Scientist,$74K-$124K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
"Data Scientist II, Data, Models & Decisions",$74K-$124K (Glassdoor est.),3.3,"LivePerson, Inc.
3.3","New York, NY",1001 to 5000 employees,1995,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Data Scientist,$74K-$124K (Glassdoor est.),-1,Microagility,"New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD)
Data Scientist/Data Architect,$74K-$124K (Glassdoor est.),-1,Financial Services Company,"New York, NY",-1,-1,-1,-1,-1,-1
AI - Quantitative Research Scientist,$74K-$124K (Glassdoor est.),3.8,"Bloomberg
3.8","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$74K-$124K (Glassdoor est.),3.6,"Koch Industries
3.6","New York, NY",10000+ employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
Data Scientist - Altdata,$74K-$124K (Glassdoor est.),3.3,"Huxley
3.3","New York, NY",201 to 500 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Analyst,$74K-$124K (Glassdoor est.),4.1,"NYU Langone Health
4.1","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Data Scientist,$74K-$124K (Glassdoor est.),2.8,"Gate Staffing LLC
2.8","New York, NY",1 to 50 employees,2010,Self-employed,IT Services,Information Technology,$1 to $5 million (USD)
Data Scientist,$74K-$124K (Glassdoor est.),-1,ConcertAI,"New York, NY",-1,-1,-1,-1,-1,-1
"Data Scientist, Recommendations",$74K-$124K (Glassdoor est.),3.4,"Tapestry
3.4","New York, NY",10000+ employees,2017,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable
"Data Scientist, Analytics & Insights",$74K-$124K (Glassdoor est.),3.4,"Tapestry
3.4","New York, NY",10000+ employees,2017,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable
Data Scientist,$74K-$124K (Glassdoor est.),2.9,"CKM Advisors
2.9","New York, NY",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Machine Learning Engineer/Scientist,$74K-$124K (Glassdoor est.),4.8,"Jane Street
4.8","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Point72 Healthcare Data Scientist,$74K-$124K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Senior Data Scientist - Automated Marketing,$74K-$124K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$74K-$124K (Glassdoor est.),5,"Averity
5.0","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Scientist,$74K-$124K (Glassdoor est.),4.2,"The CARIAN Group
4.2","New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Machine Learning & Data Engineer (Remote),$102K-$121K (Glassdoor est.),4.7,"Jun Group Productions LLC
4.7","New York, NY",51 to 200 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$102K-$121K (Glassdoor est.),-1,GradTests (gradtests.com),"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist,$102K-$121K (Glassdoor est.),2.8,"Committee of 100
2.8","New York, NY",1 to 50 employees,-1,Company - Private,Social Assistance,Non-Profit,$1 to $5 million (USD)
Data Scientist / Statistician,$102K-$121K (Glassdoor est.),4.2,"NJF Global Holdings
4.2","New York, NY",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Data Analyst,$102K-$121K (Glassdoor est.),4,"DMGT
4.0","New York, NY",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
Data Scientist (Java),$102K-$121K (Glassdoor est.),4.9,"ubergig
4.9","New York, NY",1 to 50 employees,2009,Company - Private,Building & Personnel Services,Business Services,$5 to $10 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),4,"OneWire
4.0","New York, NY",1 to 50 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),3.4,"Thomas
3.4","New York, NY",201 to 500 employees,1898,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist,$102K-$121K (Glassdoor est.),2.7,"TBWA\Chiat\Day
2.7","New York, NY",1001 to 5000 employees,1968,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD)
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$102K-$121K (Glassdoor est.),3.5,"Internal Revenue Service
3.5","New York, NY",10000+ employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable
Data Scientist,$102K-$121K (Glassdoor est.),3.4,"Harry and David, LLC
3.4","Carle Place, NY",501 to 1000 employees,1934,Company - Public,Food & Beverage Stores,Retail,$100 to $500 million (USD)
Data Science Specialist USA,$102K-$121K (Glassdoor est.),3.3,"Mphasis limited
3.3","New York, NY",10000+ employees,1992,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
Senior Data Scientist,$102K-$121K (Glassdoor est.),2.5,"Foursquare
2.5","New York, NY",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$102K-$121K (Glassdoor est.),-1,Glean Analytics Inc.,"New York, NY",-1,-1,-1,-1,-1,-1
"Quantitative Developer, Data & Institutional Markets",$102K-$121K (Glassdoor est.),4.4,"Ripple
4.4","New York, NY",201 to 500 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Scientist, Two Sigma Private Investments",$102K-$121K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
"Senior Data Scientist, Game Analytics",$102K-$121K (Glassdoor est.),4.1,"Rockstar Games
4.1","New York, NY",1001 to 5000 employees,1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),4.8,"TechProjects
4.8","New York, NY",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$102K-$121K (Glassdoor est.),3.6,"Spring Health
3.6","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Senior Data Scientist,$102K-$121K (Glassdoor est.),3.8,"Grubhub
3.8","New York, NY",1001 to 5000 employees,2004,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),5,"SkillSoniq
5.0","New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist - Demand Forecasting,$102K-$121K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Senior Data Scientist,$102K-$121K (Glassdoor est.),4.5,"Arena
4.5","New York, NY",1 to 50 employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
Quantitative Analyst Intern,$102K-$121K (Glassdoor est.),4.4,"D. E. Shaw & Co.
4.4","New York, NY",1001 to 5000 employees,1988,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
"Data Scientist / Analytics, Data Engineering",$102K-$121K (Glassdoor est.),1,"Sphinix Solutions
1.0","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD)
Data Analyst (Games),$102K-$121K (Glassdoor est.),-1,Carry1st,"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist,$102K-$121K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","New York, NY",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD)
Sports Betting Data Scientist,$102K-$121K (Glassdoor est.),-1,Line Sniper,"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist,$102K-$121K (Glassdoor est.),3.6,"Strategic Financial Solutions
3.6","New York, NY",501 to 1000 employees,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
Data Scientist,$102K-$121K (Glassdoor est.),3.7,"Audible
3.7","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable
Data Scientist,$129K-$210K (Glassdoor est.),3.4,"Voice
3.4","Brooklyn, NY",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Engineer,$129K-$210K (Glassdoor est.),4.7,"Seated
4.7","New York, NY",1 to 50 employees,2017,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Senior / Data Scientist, Ads and Messaging R&D",$129K-$210K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist/Data Science Instructor (Part-time),$129K-$210K (Glassdoor est.),4.9,"NYC Data Science Academy
4.9","New York, NY",1 to 50 employees,2014,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
Federal - Data Scientist,$129K-$210K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","New York, NY",1 to 50 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
Data Scientist,$129K-$210K (Glassdoor est.),3.4,"Digital Intelligence Systems, LLC
3.4","Franklin Lakes, NJ",1001 to 5000 employees,1994,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
"Senior Analyst, Data Science",$129K-$210K (Glassdoor est.),3.9,"Roku
3.9","New York, NY",1001 to 5000 employees,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD)
Senior Data Scientist,$129K-$210K (Glassdoor est.),4.4,"Oliver Wyman
4.4","New York, NY",1001 to 5000 employees,1984,Subsidiary or Business Segment,Consulting,Business Services,$1 to $2 billion (USD)
Machine Learning Researcher / Data Scientist,$129K-$210K (Glassdoor est.),-1,"J Harlan Group, LLC","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Applied Scientist,$129K-$210K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Quantitative Researcher - Portfolio Modeling,$129K-$210K (Glassdoor est.),-1,Edward Daniels Group,"New York, NY",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Data Scientist,$129K-$210K (Glassdoor est.),4.8,"InvenTech Info
4.8","Jersey City, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Data Analyst,$129K-$210K (Glassdoor est.),5,"Whip Media Group
5.0","New York, NY",51 to 200 employees,2016,Company - Private,-1,-1,Unknown / Non-Applicable
Investment & Data Science Intern,$129K-$210K (Glassdoor est.),4,"JAG Capital
4.0","New York, NY",1 to 50 employees,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,$5 to $10 million (USD)
